Name,Calories,Fat (g),Carb. (g),Fiber (g),Protein,Sodium
Cool Lime Starbucks Refreshers™ Beverage,45,0,11,0,0,10
Ombré Pink Drink,NaN,NaN,NaN,NaN,NaN,NaN
Pink Drink,NaN,NaN,NaN,NaN,NaN,NaN
Strawberry Acai Starbucks Refreshers™ Beverage,80,0,18,1,0,10
Very Berry Hibiscus Starbucks Refreshers™ Beverage,60,0,14,1,0,10
Violet Drink,NaN,NaN,NaN,NaN,NaN,NaN
Evolution Fresh™ ColdNaNPressed Apple Berry Juice,NaN,NaN,NaN,NaN,NaN,NaN
Evolution Fresh™ Defense Up,NaN,NaN,NaN,NaN,NaN,NaN
Evolution Fresh™ Organic Ginger Limeade,110,0,28,0,0,5
Iced Coffee,0,0,0,0,0,0
Iced Coffee with Milk,NaN,NaN,NaN,NaN,NaN,NaN
Iced Espresso Classics NaN Vanilla Latte,130,2.5,21,0,5,65
Iced Espresso Classics NaN Caffe Mocha,140,2.5,23,0,5,90
Iced Espresso Classics NaN Caramel Macchiato,130,2.5,21,0,5,65
Starbucks® Caramel Iced Coffee,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks® Iced Coffee + Milk,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks® Low Calorie Iced Coffee + Milk,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks® Vanilla Iced Coffee,NaN,NaN,NaN,NaN,NaN,NaN
Shaken Sweet Tea,80,0,19,0,0,10
Tazo® Bottled Berry Blossom White,60,0,15,0,0,10
Tazo® Bottled Black Mango,150,0,38,0,0,15
Tazo® Bottled Black with Lemon,140,0,35,0,0,10
Tazo® Bottled Brambleberry,140,0,35,0,0,15
Tazo® Bottled Giant Peach,150,0,37,0,0,15
Tazo® Bottled Iced Passion,70,0,17,0,0,10
Tazo® Bottled Lemon Ginger,120,0,31,0,0,10
Tazo® Bottled Organic Black Lemonade,140,0,35,0,0,10
Tazo® Bottled Organic Iced Black Tea,60,0,15,0,0,10
Tazo® Bottled Organic Iced Green Tea,120,0,31,0,0,10
Tazo® Bottled Plum Pomegranate,140,0,35,0,0,10
Tazo® Bottled Tazoberry,150,0,38,0,0,15
Tazo® Bottled White Cranberry,140,0,35,0,0,10
Teavana® Shaken Iced Black Tea,30,0,8,0,0,5
Teavana® Shaken Iced Black Tea Lemonade,70,0,17,0,0,0
Teavana® Shaken Iced Green Tea,30,0,8,0,0,5
Teavana® Shaken Iced Green Tea Lemonade,70,0,17,0,0,5
Teavana® Shaken Iced Passion Tango™ Tea,30,0,8,0,0,5
Teavana® Shaken Iced Passion Tango™ Tea Lemonade,90,0,24,0,0,0
Teavana® Shaken Iced Peach Green Tea,60,0,15,0,0,0
Iced Espresso Classics NaN Vanilla Latte,130,2.5,21,0,5,65
Iced Espresso Classics NaN Caffe Mocha,140,2.5,23,0,5,90
Iced Espresso Classics NaN Caramel Macchiato,130,2.5,21,0,5,65
Iced Espresso Classics NaN Skinny Caramel Macchiato,NaN,NaN,NaN,NaN,NaN,NaN
Iced Espresso Classics NaN Skinny Vanilla Latte,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks Doubleshot® Energy Coffee Drink,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks Doubleshot® Energy Mexican Mocha,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks Doubleshot® Energy Mocha Drink,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks Doubleshot® Energy Vanilla Drink,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks Doubleshot® Energy White Chocolate Drink,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks Doubleshot® Energy+Cinnamon Dolce Drink,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks Doubleshot® Espresso Cubano,NaN,NaN,NaN,NaN,NaN,NaN
